num_pairs,interval_count,continuous/proportionalResident_mean,continuous/proportionalResident_median,continuous/proportionalResident_std,continuous/proportionalResident_mad,continuous/proportionalSwapped_mean,continuous/proportionalSwapped_median,continuous/proportionalSwapped_std,continuous/proportionalSwapped_mad,continuous/resident_mean,continuous/resident_median,continuous/resident_std,continuous/resident_mad,continuous/swapped_mean,continuous/swapped_median,continuous/swapped_std,continuous/swapped_mad,continuous/virtual_mean,continuous/virtual_median,continuous/virtual_std,continuous/virtual_mad,datamgmt/proportionalResident_mean,datamgmt/proportionalResident_median,datamgmt/proportionalResident_std,datamgmt/proportionalResident_mad,datamgmt/proportionalSwapped_mean,datamgmt/proportionalSwapped_median,datamgmt/proportionalSwapped_std,datamgmt/proportionalSwapped_mad,datamgmt/resident_mean,datamgmt/resident_median,datamgmt/resident_std,datamgmt/resident_mad,datamgmt/swapped_mean,datamgmt/swapped_median,datamgmt/swapped_std,datamgmt/swapped_mad,datamgmt/virtual_mean,datamgmt/virtual_median,datamgmt/virtual_std,datamgmt/virtual_mad,ros2listener/proportionalResident_mean,ros2listener/proportionalResident_median,ros2listener/proportionalResident_std,ros2listener/proportionalResident_mad,ros2listener/proportionalSwapped_mean,ros2listener/proportionalSwapped_median,ros2listener/proportionalSwapped_std,ros2listener/proportionalSwapped_mad,ros2listener/resident_mean,ros2listener/resident_median,ros2listener/resident_std,ros2listener/resident_mad,ros2listener/swapped_mean,ros2listener/swapped_median,ros2listener/swapped_std,ros2listener/swapped_mad,ros2listener/virtual_mean,ros2listener/virtual_median,ros2listener/virtual_std,ros2listener/virtual_mad,ros2talker/proportionalResident_mean,ros2talker/proportionalResident_median,ros2talker/proportionalResident_std,ros2talker/proportionalResident_mad,ros2talker/proportionalSwapped_mean,ros2talker/proportionalSwapped_median,ros2talker/proportionalSwapped_std,ros2talker/proportionalSwapped_mad,ros2talker/resident_mean,ros2talker/resident_median,ros2talker/resident_std,ros2talker/resident_mad,ros2talker/swapped_mean,ros2talker/swapped_median,ros2talker/swapped_std,ros2talker/swapped_mad,ros2talker/virtual_mean,ros2talker/virtual_median,ros2talker/virtual_std,ros2talker/virtual_mad,structural/proportionalResident_mean,structural/proportionalResident_median,structural/proportionalResident_std,structural/proportionalResident_mad,structural/proportionalSwapped_mean,structural/proportionalSwapped_median,structural/proportionalSwapped_std,structural/proportionalSwapped_mad,structural/resident_mean,structural/resident_median,structural/resident_std,structural/resident_mad,structural/swapped_mean,structural/swapped_median,structural/swapped_std,structural/swapped_mad,structural/virtual_mean,structural/virtual_median,structural/virtual_std,structural/virtual_mad,influxdb/memusage_mean,influxdb/memusage_median,influxdb/memusage_std,influxdb/memusage_mad,neo4j/memusage_mean,neo4j/memusage_median,neo4j/memusage_std,neo4j/memusage_mad,influxdb/memrss_mean,influxdb/memrss_median,influxdb/memrss_std,influxdb/memrss_mad,neo4j/memrss_mean,neo4j/memrss_median,neo4j/memrss_std,neo4j/memrss_mad
0,11,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,196111407.87933636,195678208.0,1103480.3144275704,450560.0,955631594.3770739,962916352.0,9752521.917048356,462848.0,77963338.13574661,77524992.0,1096572.6016905438,471040.0,527886629.45399696,535187456.0,9721600.60139323,376832.0
10,11,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,154366846.06646526,154354688.0,340276.2551187602,311296.0,0.0,0.0,0.0,0.0,388646120.0241692,388599808.0,487240.29787558364,516096.0,0.0,0.0,0.0,0.0,8804034324.882175,8828338176.0,236269066.39951953,201502720.0,151885632.19335347,151810048.0,495512.4330218774,285696.0,0.0,0.0,0.0,0.0,382094605.14803624,381935616.0,669838.115471236,524288.0,0.0,0.0,0.0,0.0,8973039182.888218,8942723072.0,82660585.1646203,565248.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,200157326.3081571,200105984.0,1622184.8403523301,1130496.0,1077366022.960725,1087205376.0,23615487.151401788,4136960.0,80524996.4471299,80498688.0,1419614.5856750156,598016.0,648414631.8308157,658231296.0,23222380.182212748,3559424.0
20,11,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,318449397.20481926,318579200.0,635896.7312904862,330240.0,0.0,0.0,0.0,0.0,853259282.5060241,853372928.0,1166551.3908737684,1052672.0,0.0,0.0,0.0,0.0,18256895013.012047,18360668160.0,224464831.4397363,134463488.0,311993578.4096386,312052736.0,313856.06413512235,143360.0,0.0,0.0,0.0,0.0,837496542.0722891,837922816.0,763571.7400232558,495616.0,0.0,0.0,0.0,0.0,15919167975.325302,15906410496.0,415721321.83422846,268447744.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,204684417.54216868,205090816.0,2998561.580193247,2420736.0,1115073190.5542169,1103839232.0,21764734.504271552,3760128.0,81779810.69879518,82231296.0,2238018.2840539264,1855488.0,683526076.1445783,672321536.0,20973460.524288315,2891776.0
30,11,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,543290826.0240964,543193088.0,1205259.898688652,837632.0,0.0,0.0,0.0,0.0,1447729898.4096386,1447391232.0,1688540.0520435392,1445888.0,0.0,0.0,0.0,0.0,27451226167.518074,27486736384.0,265964134.95121726,201625600.0,532950864.1927711,532943872.0,270397.8266232351,195584.0,0.0,0.0,0.0,0.0,1423010587.759036,1423032320.0,850404.5903673465,434176.0,0.0,0.0,0.0,0.0,23471974535.710842,23469592576.0,443996917.2805724,402681856.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,211838593.54216868,212094976.0,4074946.8394952035,3117056.0,1229018636.3373494,1204236288.0,43026005.94300272,3170304.0,83741196.3373494,85008384.0,3004639.154329162,2183168.0,793179024.9638554,768450560.0,41874094.72056902,1892352.0
40,11,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,828842937.8630137,828319744.0,1146077.4738638243,765952.0,0.0,0.0,0.0,0.0,2170881658.350076,2170642432.0,1182845.3396125596,647168.0,0.0,0.0,0.0,0.0,36714664746.47184,36743720960.0,295115450.98989093,134782976.0,817579223.086758,817508352.0,1292187.9693888999,536576.0,0.0,0.0,0.0,0.0,2140525223.5494673,2140913664.0,2036322.685909469,1183744.0,0.0,0.0,0.0,0.0,31561919913.497715,31296389120.0,568019658.2041233,134283264.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,220203410.1752266,219152384.0,5330388.731841723,4317184.0,1339819914.4410877,1306157056.0,38844802.212645575,4411392.0,84629268.88217522,86032384.0,3669593.2233468215,3788800.0,898180872.5075529,864710656.0,37199208.780691124,1679360.0
