frequency,num_pairs,diff/median,dev/median,diff/mean,dev/mean
10.0,10,-5.920000000000002,-0.10259965337954946,-13.419999999999987,-0.16246973365617423
10.0,20,-0.9200000000000017,-0.017154577661756543,-12.799999999999997,-0.1194141244519078
10.0,30,-1.3100000000000023,-0.02419652752124124,285.97,1.9968577613295158
10.0,40,0.21000000000000085,0.0040392383150607,416.1600000000001,0.5274457864919331
20.0,10,-1.8399999999999963,-0.03454750281637242,-4.150000000000006,-0.045394880770072255
20.0,20,-1.519999999999996,-0.029208301306687057,-10.659999999999997,-0.12380952380952381
20.0,30,1.0200000000000031,0.02018203403244967,55.879999999999995,0.32882193715428976
20.0,40,0.4399999999999977,0.008669950738916299,317.76,0.9915436702343432
30.0,10,-14.229999999999997,-0.25194759206798867,-23.230000000000004,-0.2621600270849792
30.0,20,-4.490000000000002,-0.0886125912768897,14.099999999999994,0.18107101579555662
30.0,30,0.25,0.004985044865403854,7.929999999999978,0.047773962286884686
30.0,40,0.18000000000000682,0.003535651149086716,247.72999999999996,0.9258165782195977
40.0,10,-7.6200000000000045,-0.14891538010553063,-18.4,-0.2308947170284854
40.0,20,2.8599999999999994,0.06309287447606438,15.39,0.19958500842951632
40.0,30,0.3400000000000034,0.006867299535447513,25.680000000000007,0.23377332726445155
40.0,40,0.1700000000000017,0.0033144862546305998,141.18,0.6064432989690722
50.0,10,-7.729999999999997,-0.15749796251018744,-7.75,-0.10581649371927904
50.0,20,9.719999999999999,0.2499357161223965,-1.4099999999999966,-0.019853562376795253
50.0,30,2.6300000000000026,0.056510528577567776,12.840000000000003,0.12594409024031394
50.0,40,-0.4200000000000017,-0.008183943881527656,82.06,0.45289475136596935
60.0,10,4.079999999999998,0.10019646365422386,9.049999999999997,0.1509843176509842
60.0,20,5.0,0.12360939431396778,12.600000000000009,0.19036108173440103
60.0,30,1.4399999999999977,0.0302457466918713,30.760000000000005,0.32636604774535805
60.0,40,1.269999999999996,0.02558936127342326,174.23000000000002,1.0915298834732492
70.0,10,-2.969999999999999,-0.0795606750602732,-2.3000000000000043,-0.03788502717838915
70.0,20,7.650000000000006,0.20570045711212703,33.05,0.5833039181080126
70.0,30,0.1600000000000037,0.0032599837000815146,36.91000000000001,0.45697660022285524
70.0,40,-1.8799999999999955,-0.035707502374168976,106.01000000000002,0.6628939469734869
80.0,10,5.699999999999999,0.1887417218543046,1.9399999999999977,0.03368640388956412
80.0,20,4.350000000000001,0.11655948553054674,2.530000000000001,0.043961772371850616
80.0,30,-0.9100000000000037,-0.018495934959349647,27.72,0.3446046742913973
80.0,40,1.4799999999999969,0.029689067201604802,58.109999999999985,0.33241805388707735
90.0,10,-6.640000000000001,-0.17806382408152321,-10.619999999999997,-0.18537266538662944
90.0,20,4.759999999999998,0.12496718298766063,5.479999999999997,0.09608977731018764
90.0,30,2.8700000000000045,0.0622289679098007,14.239999999999995,0.16253852299965743
90.0,40,2.0799999999999983,0.04254448762528118,127.22999999999999,0.9293644996347699
100.0,10,10.599999999999998,0.36438638707459603,9.43,0.18278736189183942
100.0,20,5.170000000000002,0.13905325443786998,8.009999999999998,0.14306126093945348
100.0,30,4.420000000000002,0.0971428571428572,30.789999999999992,0.44067554028910827
100.0,40,1.0,0.020028039254956997,110.35999999999999,0.6659827409329551
