frequency,0/influxdb/read_mad,0/influxdb/read_mean,0/influxdb/read_median,0/influxdb/read_std,0/influxdb/write_mad,0/influxdb/write_mean,0/influxdb/write_median,0/influxdb/write_std,0/neo4j/read_mad,0/neo4j/read_mean,0/neo4j/read_median,0/neo4j/read_std,0/neo4j/write_mad,0/neo4j/write_mean,0/neo4j/write_median,0/neo4j/write_std,0/read_mad,0/read_mean,0/read_median,0/read_std,0/write_mad,0/write_mean,0/write_median,0/write_std,10/influxdb/read_mad,10/influxdb/read_mean,10/influxdb/read_median,10/influxdb/read_std,10/influxdb/write_mad,10/influxdb/write_mean,10/influxdb/write_median,10/influxdb/write_std,10/neo4j/read_mad,10/neo4j/read_mean,10/neo4j/read_median,10/neo4j/read_std,10/neo4j/write_mad,10/neo4j/write_mean,10/neo4j/write_median,10/neo4j/write_std,10/read_mad,10/read_mean,10/read_median,10/read_std,10/write_mad,10/write_mean,10/write_median,10/write_std,20/influxdb/read_mad,20/influxdb/read_mean,20/influxdb/read_median,20/influxdb/read_std,20/influxdb/write_mad,20/influxdb/write_mean,20/influxdb/write_median,20/influxdb/write_std,20/neo4j/read_mad,20/neo4j/read_mean,20/neo4j/read_median,20/neo4j/read_std,20/neo4j/write_mad,20/neo4j/write_mean,20/neo4j/write_median,20/neo4j/write_std,20/read_mad,20/read_mean,20/read_median,20/read_std,20/write_mad,20/write_mean,20/write_median,20/write_std,30/influxdb/read_mad,30/influxdb/read_mean,30/influxdb/read_median,30/influxdb/read_std,30/influxdb/write_mad,30/influxdb/write_mean,30/influxdb/write_median,30/influxdb/write_std,30/neo4j/read_mad,30/neo4j/read_mean,30/neo4j/read_median,30/neo4j/read_std,30/neo4j/write_mad,30/neo4j/write_mean,30/neo4j/write_median,30/neo4j/write_std,30/read_mad,30/read_mean,30/read_median,30/read_std,30/write_mad,30/write_mean,30/write_median,30/write_std,40/influxdb/read_mad,40/influxdb/read_mean,40/influxdb/read_median,40/influxdb/read_std,40/influxdb/write_mad,40/influxdb/write_mean,40/influxdb/write_median,40/influxdb/write_std,40/neo4j/read_mad,40/neo4j/read_mean,40/neo4j/read_median,40/neo4j/read_std,40/neo4j/write_mad,40/neo4j/write_mean,40/neo4j/write_median,40/neo4j/write_std,40/read_mad,40/read_mean,40/read_median,40/read_std,40/write_mad,40/write_mean,40/write_median,40/write_std
0,0.0,0.0,0.0,0.0,409.5999999999999,4129.573770491803,4096.0,342.48844097777936,0.0,9662.531147540984,0.0,76093.07184049458,0.0,510.32131147540986,0.0,768.5763863466775,0.0,9662.531147540984,0.0,76093.07184049458,409.5999999999999,4639.895081967213,4096.0,1111.064827324457,0.0,0.0,0.0,0.0,819.1999999999989,9134.08,9420.8,731.2948415779555,0.0,0.0,0.0,0.0,0.0,484.6933333333333,0.0,720.692379085398,0.0,0.0,0.0,0.0,819.1999999999989,9618.773333333333,9420.8,1451.9872206633536,0.0,0.0,0.0,0.0,819.2000000000007,9946.453333333333,10240.0,827.1214900335245,0.0,0.0,0.0,0.0,0.0,341.33333333333337,0.0,531.4117919066532,0.0,0.0,0.0,0.0,819.2000000000007,10287.786666666667,10240.0,1358.5332819401779,0.0,0.0,0.0,0.0,409.60000000000036,10738.346666666666,11059.2,747.6052990891542,0.0,0.0,0.0,0.0,0.0,375.46666666666675,0.0,588.4984057208176,0.0,0.0,0.0,0.0,409.60000000000036,11113.813333333334,11059.2,1336.1037048099718,0.0,0.0,0.0,0.0,409.60000000000036,11543.893333333335,11878.4,838.7758077340909,0.0,0.0,0.0,0.0,819.2,689.4933333333335,819.2,680.5247363766969,0.0,0.0,0.0,0.0,1228.8000000000004,12233.386666666669,12697.6,1519.3005441107878
10,0.0,0.0,0.0,0.0,409.5999999999999,4130.133333333334,4096.0,399.541727898313,0.0,0.0,0.0,0.0,0.0,450.56000000000006,0.0,689.1157527425753,0.0,0.0,0.0,0.0,409.5999999999999,4580.6933333333345,4096.0,1088.6574806408883,0.0,0.0,0.0,0.0,819.2000000000007,13644.38032786885,13926.4,1134.8829826136212,0.0,0.0,0.0,0.0,0.0,510.32131147540986,0.0,768.5763863466775,0.0,0.0,0.0,0.0,819.2000000000007,14154.701639344261,13926.4,1903.4593689602987,0.0,0.0,0.0,0.0,409.60000000000036,14827.519999999999,15155.2,858.7618393723184,0.0,0.0,0.0,0.0,0.0,539.3066666666667,0.0,774.2159979631303,0.0,0.0,0.0,0.0,409.60000000000036,15366.826666666666,15155.2,1632.9778373354488,0.0,0.0,0.0,0.0,819.2000000000007,16022.186666666666,16384.0,1330.6681669272048,0.0,0.0,0.0,0.0,0.0,532.4800000000001,0.0,769.8341472577354,0.0,0.0,0.0,0.0,819.2000000000007,16554.666666666668,16384.0,2100.50231418494,0.0,0.0,0.0,0.0,1228.7999999999993,17243.488524590164,17612.8,1485.0902346379323,0.0,0.0,0.0,0.0,0.0,846.0590163934426,0.0,1120.3406823259509,0.0,0.0,0.0,0.0,1228.7999999999993,18089.547540983607,17612.8,2605.430916963883
20,0.0,0.0,0.0,0.0,0.0,4123.306666666666,4096.0,288.0183278797081,0.0,0.0,0.0,0.0,0.0,443.73333333333335,0.0,674.7366258392805,0.0,0.0,0.0,0.0,0.0,4567.04,4096.0,962.7549537189886,0.0,0.0,0.0,0.0,409.60000000000036,13646.506666666666,13926.4,1054.162074492654,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,409.60000000000036,14165.333333333332,13926.4,1826.2855072683096,0.0,0.0,0.0,0.0,1228.7999999999993,14853.036065573768,15155.2,1337.3227988387043,0.0,0.0,0.0,0.0,0.0,517.0360655737705,0.0,765.7036554404077,0.0,0.0,0.0,0.0,1228.7999999999993,15370.072131147539,15155.2,2103.026454279112,0.0,0.0,0.0,0.0,1228.7999999999993,16101.980327868852,16384.0,1308.3024031638458,0.0,0.0,0.0,0.0,0.0,517.0360655737705,0.0,765.7036554404076,0.0,0.0,0.0,0.0,1228.7999999999993,16619.016393442624,16384.0,2074.0060586042537,0.0,0.0,0.0,0.0,819.2000000000007,17203.2,17612.8,1242.9622224652467,0.0,0.0,0.0,0.0,0.0,764.5866666666667,0.0,1069.4456016734243,0.0,0.0,0.0,0.0,819.2000000000007,17967.786666666667,17612.8,2312.407824138671
30,0.0,0.0,0.0,0.0,409.5999999999999,4130.133333333334,4096.0,406.7171489235748,0.0,0.0,0.0,0.0,0.0,464.21333333333337,0.0,683.7590169548737,0.0,0.0,0.0,0.0,409.5999999999999,4594.346666666667,4096.0,1090.4761658784485,0.0,0.0,0.0,0.0,1228.7999999999993,13714.773333333336,13926.4,1203.6457535095424,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,1228.7999999999993,14233.600000000002,13926.4,1975.769186285198,0.0,0.0,0.0,0.0,819.1999999999989,14916.266666666666,15155.2,1075.5711363020368,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,819.1999999999989,15435.093333333332,15155.2,1847.6945690776924,0.0,0.0,0.0,0.0,1228.7999999999993,16138.24,16384.0,1358.2007656244496,0.0,0.0,0.0,0.0,0.0,525.6533333333334,0.0,769.1332842430172,0.0,0.0,0.0,0.0,1228.7999999999993,16663.893333333333,16384.0,2127.334049867467,0.0,0.0,0.0,0.0,0.0,17377.78360655738,17612.8,1035.3000016316678,0.0,0.0,0.0,0.0,0.0,523.7508196721312,0.0,766.4769530737506,0.0,0.0,0.0,0.0,0.0,17901.53442622951,17612.8,1801.7769547054183
40,0.0,0.0,0.0,0.0,204.79999999999995,4129.573770491803,4096.0,366.55137129277006,0.0,0.0,0.0,0.0,0.0,376.0262295081967,0.0,588.3539848426507,0.0,0.0,0.0,0.0,204.79999999999995,4505.599999999999,4096.0,954.9053561354208,0.0,0.0,0.0,0.0,819.1999999999989,13687.466666666665,13926.4,1087.6736472070816,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,819.1999999999989,14206.293333333331,13926.4,1859.7970799827372,0.0,0.0,0.0,0.0,819.1999999999989,14868.479999999998,15155.2,1159.2429493192803,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,819.1999999999989,15387.306666666664,15155.2,1931.366382094936,0.0,0.0,0.0,0.0,1228.7999999999993,16104.106666666667,16384.0,1340.2500266231068,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,1228.7999999999993,16622.933333333334,16384.0,2112.3734593987624,0.0,0.0,0.0,0.0,819.2000000000007,17237.333333333332,17612.8,1347.3280261685934,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,819.2000000000007,17756.16,17612.8,2119.451458944249
50,0.0,0.0,0.0,0.0,409.5999999999999,4130.133333333333,4096.0,336.6773190453373,0.0,0.0,0.0,0.0,0.0,368.64,0.0,575.6961078988743,0.0,0.0,0.0,0.0,409.5999999999999,4498.7733333333335,4096.0,912.3734269442116,0.0,0.0,0.0,0.0,819.2000000000007,13691.383606557376,13926.4,1046.2968224327017,0.0,0.0,0.0,0.0,0.0,510.32131147540986,0.0,768.5763863466775,0.0,0.0,0.0,0.0,819.2000000000007,14201.704918032785,13926.4,1814.8732087793792,0.0,0.0,0.0,0.0,1228.7999999999993,14895.786666666669,15155.2,1225.243870476037,0.0,0.0,0.0,0.0,0.0,525.6533333333334,0.0,769.1332842430172,0.0,0.0,0.0,0.0,1228.7999999999993,15421.440000000002,15155.2,1994.3771547190543,0.0,0.0,0.0,0.0,0.0,16145.066666666668,16384.0,1021.2792844887117,0.0,0.0,0.0,0.0,0.0,532.4800000000001,0.0,769.8341472577354,0.0,0.0,0.0,0.0,0.0,16677.54666666667,16384.0,1791.113431746447,0.0,0.0,0.0,0.0,1228.7999999999993,17332.906666666666,17612.8,1453.0722649534982,0.0,0.0,0.0,0.0,0.0,928.4266666666667,0.0,1186.290782794945,0.0,0.0,0.0,0.0,1228.7999999999993,18261.333333333332,17612.8,2639.363047748443
60,0.0,0.0,0.0,0.0,409.5999999999999,4130.133333333334,4096.0,353.4432216815868,0.0,0.0,0.0,0.0,0.0,375.46666666666664,0.0,588.4984057208173,0.0,0.0,0.0,0.0,409.5999999999999,4505.6,4096.0,941.9416274024042,0.0,0.0,0.0,0.0,1228.7999999999993,13728.426666666666,13926.4,1166.7047425274825,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,1228.7999999999993,14247.253333333332,13926.4,1938.8281753031383,0.0,0.0,0.0,0.0,819.1999999999989,14980.61639344262,15155.2,1258.5052804703487,0.0,0.0,0.0,0.0,0.0,517.0360655737705,0.0,765.7036554404077,0.0,0.0,0.0,0.0,819.1999999999989,15497.652459016392,15155.2,2024.2089359107563,0.0,0.0,0.0,0.0,819.2000000000007,16182.557377049181,16384.0,1302.2023809316104,0.0,0.0,0.0,0.0,0.0,631.1868852459017,0.0,906.1130901593863,0.0,0.0,0.0,0.0,819.2000000000007,16813.744262295084,16384.0,2208.3154710909967,0.0,0.0,0.0,0.0,1228.7999999999993,17431.501639344264,17612.8,1454.2616962949737,0.0,0.0,0.0,0.0,0.0,725.1934426229509,0.0,1038.9557333517182,0.0,0.0,0.0,0.0,1228.7999999999993,18156.695081967213,17612.8,2493.217429646692
70,0.0,0.0,0.0,0.0,0.0,4136.96,4096.0,338.7098870856667,0.0,0.0,0.0,0.0,0.0,382.2933333333334,0.0,600.9464896226873,0.0,0.0,0.0,0.0,0.0,4519.253333333333,4096.0,939.656376708354,0.0,0.0,0.0,0.0,409.60000000000036,13714.773333333333,13926.4,920.3789560285346,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,409.60000000000036,14233.599999999999,13926.4,1692.5023888041903,0.0,0.0,0.0,0.0,409.60000000000036,14970.880000000001,15155.2,1097.3667799655968,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,409.60000000000036,15489.706666666667,15155.2,1869.4902127412524,0.0,0.0,0.0,0.0,1638.3999999999996,16151.893333333333,16384.0,1503.4182870954826,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,1638.3999999999996,16670.72,16384.0,2275.5417198711384,0.0,0.0,0.0,0.0,819.2000000000007,17394.346666666668,17612.8,1331.5521361347012,0.0,0.0,0.0,0.0,0.0,962.5600000000001,0.0,1275.0499727317278,0.0,0.0,0.0,0.0,819.2000000000007,18356.90666666667,17612.8,2606.6021088664293
80,0.0,0.0,0.0,0.0,409.5999999999999,4122.859016393443,4096.0,379.8224589117728,0.0,0.0,0.0,0.0,0.0,335.73770491803276,0.0,523.3861622189298,0.0,0.0,0.0,0.0,409.5999999999999,4458.596721311476,4096.0,903.2086211307026,0.0,0.0,0.0,0.0,1228.7999999999993,13714.773333333333,13926.4,1397.168415024314,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,1228.7999999999993,14233.599999999999,13926.4,2169.2918477999697,0.0,0.0,0.0,0.0,409.60000000000036,14895.786666666665,15155.2,1246.3104606028407,0.0,0.0,0.0,0.0,0.0,532.48,0.0,769.8341472577354,0.0,0.0,0.0,0.0,409.60000000000036,15428.266666666665,15155.2,2016.1446078605761,0.0,0.0,0.0,0.0,409.60000000000036,16172.373333333333,16384.0,1132.8045752383277,0.0,0.0,0.0,0.0,0.0,559.7866666666666,0.0,836.7275121058847,0.0,0.0,0.0,0.0,409.60000000000036,16732.16,16384.0,1969.5320873442124,0.0,0.0,0.0,0.0,614.4000000000015,17458.360655737706,17612.8,1169.9220096658435,0.0,0.0,0.0,0.0,0.0,530.4655737704918,0.0,770.8853070106939,0.0,0.0,0.0,0.0,614.4000000000015,17988.8262295082,17612.8,1940.8073166765373
90,0.0,0.0,0.0,0.0,409.5999999999999,4130.133333333333,4096.0,413.76815503984,0.0,0.0,0.0,0.0,0.0,354.9866666666667,0.0,548.9290607914783,0.0,0.0,0.0,0.0,409.5999999999999,4485.12,4096.0,962.6972158313183,0.0,0.0,0.0,0.0,819.1999999999998,13731.672131147543,13926.4,1004.137303506739,0.0,0.0,0.0,0.0,0.0,510.32131147540986,0.0,768.5763863466775,0.0,0.0,0.0,0.0,819.1999999999998,14241.993442622952,13926.4,1772.7136898534166,0.0,0.0,0.0,0.0,819.1999999999989,14900.039344262294,15155.2,1235.7036951986845,0.0,0.0,0.0,0.0,0.0,517.0360655737705,0.0,765.7036554404076,0.0,0.0,0.0,0.0,819.1999999999989,15417.075409836065,15155.2,2001.407350639092,0.0,0.0,0.0,0.0,409.60000000000036,16175.84262295082,16384.0,1187.1934651928516,0.0,0.0,0.0,0.0,0.0,523.7508196721312,0.0,766.4769530737506,0.0,0.0,0.0,0.0,409.60000000000036,16699.59344262295,16384.0,1953.6704182666022,0.0,0.0,0.0,0.0,819.2000000000007,17380.693333333336,17612.8,1132.804575238328,0.0,0.0,0.0,0.0,0.0,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,819.2000000000007,17899.520000000004,17612.8,1904.9280080139838
