frequency,num_pairs,datamgmt/cpu_mean,datamgmt/cpu_median,datamgmt/cpu_std,datamgmt/cpu_mad,structural/cpu_mean,structural/cpu_median,structural/cpu_std,structural/cpu_mad,continuous/cpu_mean,continuous/cpu_median,continuous/cpu_std,continuous/cpu_mad,neo4j/cpu_mean,neo4j/cpu_median,neo4j/cpu_std,neo4j/cpu_mad,influxdb/cpu_mean,influxdb/cpu_median,influxdb/cpu_std,influxdb/cpu_mad,ros2talker/cpu_mean,ros2talker/cpu_median,ros2talker/cpu_std,ros2talker/cpu_mad,ros2listener/cpu_mean,ros2listener/cpu_median,ros2listener/cpu_std,ros2listener/cpu_mad,stream/cpu_mean,stream/cpu_median,stream/cpu_std,stream/cpu_mad,ros2/cpu_mean,ros2/cpu_median,ros2/cpu_std,ros2/cpu_mad
0,0,0.019262295081967216,0.019999999999999928,0.0007199733202840807,0.00049999999999999,0.007213114754098359,0.007000000000000029,0.0005420196589926023,4.5102810375396984e-17,0.007901639344262294,0.008000000000000007,0.0005812513288970874,0.0,0.010266126229508201,0.008114600000000038,0.0072623315896711916,0.0014287000000001264,0.002924886885245901,0.002908500000000014,0.00044117139558187565,0.0001863000000000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047568062295081974,0.04602310000000002,0.009546747293426838,0.0021150000000001896,0.0,0.0,0.0,0.0
0,10,0.02138333333333333,0.021999999999999974,0.0005443509371017442,9.020562075079397e-17,0.007099999999999998,0.007000000000000006,0.0004936771460059744,2.2551405187698492e-17,0.007833333333333335,0.008000000000000007,0.0005560358985841899,0.0,0.00462636166666665,0.004312300000000846,0.0014790966153182673,0.0002770000000026588,0.0035531449999999984,0.0034753999999999506,0.0005305199123437937,0.0002876000000000545,0.004483333333333333,0.004999999999999982,0.0017446587102341248,0.0010000000000000234,0.004516666666666667,0.0040000000000000036,0.0018580546377382336,0.0010000000000000009,0.04449617333333331,0.044787700000000784,0.0036036805093539693,0.000564600000002826,0.009000000000000001,0.008999999999999985,0.0036027133479723584,0.0020000000000000243
0,20,0.023316666666666666,0.02400000000000002,0.0005586574873695368,4.5102810375396984e-17,0.0072166666666666655,0.007000000000000029,0.000512269106660563,4.5102810375396984e-17,0.007816666666666666,0.008000000000000007,0.0005995322548499695,2.2551405187698492e-17,0.00395607000000003,0.00398869999999647,0.0003616565207336604,0.00020600000000285928,0.00397735666666667,0.003896399999999289,0.0005702336339862897,0.0002028000000009909,0.017116666666666665,0.016999999999999994,0.0032753975492733805,0.0020000000000000434,0.016733333333333333,0.016000000000000014,0.003037078481743011,0.0019999999999999567,0.0462834266666667,0.046885099999995815,0.002602349003600019,0.00040880000000396294,0.03385,0.03300000000000001,0.006312476031016392,0.004
0,30,0.024766666666666663,0.025,0.0005076849508812161,0.0,0.0070999999999999995,0.007000000000000006,0.0006177767873361359,2.2551405187698492e-17,0.007733333333333333,0.008000000000000007,0.000628562320138648,0.0,0.0037927883333333055,0.0038139000000001035,0.0003715222654625646,0.00018420000000105583,0.003997198333333358,0.003840500000001157,0.0006275350852549319,0.00017060000000128622,0.035616666666666665,0.03699999999999974,0.004238850676247355,0.002999999999999399,0.03426666666666666,0.03500000000000014,0.004294397148980754,0.0030000000000001137,0.04738998666666666,0.047654400000001276,0.0027530814090734965,0.0003548000000023646,0.06988333333333333,0.07199999999999988,0.008533247825228109,0.005999999999999513
0,40,0.026399999999999996,0.028000000000000115,0.0006241877839323283,1.8041124150158794e-16,0.006783333333333333,0.007000000000000029,0.0007505409304706112,0.0009999999999999783,0.007400000000000001,0.008000000000000007,0.0005345224838248483,0.0,0.0037783833333332947,0.0038951999999994767,0.00034400357172265246,0.00022480000000086892,0.004284686666666696,0.004170100000001753,0.0006423780942414008,0.00028169999999931843,0.06139999999999998,0.06649999999999992,0.0047700363471622495,0.0035000000000017795,0.05795000000000002,0.06200000000000046,0.00390466753660659,0.0020000000000010287,0.048646403333333324,0.051065300000001375,0.002895632864191841,0.001506500000000346,0.11935000000000001,0.1285000000000004,0.00867470388376884,0.005500000000002808
10,0,0.019433333333333334,0.019999999999999928,0.0006522899463943691,1.8041124150158794e-16,0.0070666666666666655,0.007000000000000006,0.0005076849508812054,2.2551405187698492e-17,0.00785,0.008000000000000007,0.0006294914593304379,1.0408340855860843e-17,0.005810133333333334,0.004894099999999924,0.003999430454999546,0.00035359999999968767,0.002915698333333334,0.0028520000000000325,0.0004176661912268913,0.0001326999999999856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04307583166666667,0.0427460999999999,0.0062065630028324496,0.00048629999999988665,0.0,0.0,0.0,0.0
10,10,0.021213114754098365,0.021999999999999888,0.000563483916623884,1.7694179454963432e-16,0.007245901639344262,0.007000000000000029,0.0005196696038591651,4.5102810375396984e-17,0.01081967213114754,0.010999999999999987,0.0005207556439232887,4.5102810375396984e-17,0.03199785081967212,0.027512399999997682,0.014149434029616452,0.006733299999997654,0.004731532786885245,0.004723550000000287,0.0005937276906187328,0.0002563500000000831,0.02501639344262295,0.0254999999999999,0.0015111637301130005,0.00149999999999988,0.016967213114754104,0.016999999999999994,0.0015797983136667795,0.00099999999999998,0.07600807213114753,0.07223594999999787,0.016347070884641525,0.006989649999998004,0.041983606557377054,0.0424999999999999,0.00309096204377978,0.00249999999999986
10,20,0.022916666666666665,0.02300000000000004,0.0005946380321221062,1.7694179454963432e-16,0.00715,0.007000000000000029,0.0005518154512396022,4.5102810375396984e-17,0.012583333333333334,0.012999999999999989,0.0006373344549614491,4.5102810375396984e-17,0.024158111666666666,0.024396300000000794,0.0021146538051259596,0.0020160999999973214,0.005153069999999999,0.005079000000000633,0.0005535732483366681,0.00016430000000013968,0.05851666666666666,0.05899999999999998,0.003650096273439569,0.002000000000000314,0.04015,0.041000000000000016,0.0025199380286091166,0.001999999999999953,0.07196118166666667,0.07247530000000149,0.004452014991785785,0.0021803999999977283,0.09866666666666665,0.1,0.006170034302048686,0.004000000000000267
10,30,0.02456666666666666,0.025,0.0006014787932664459,0.0,0.007183333333333333,0.007000000000000029,0.0005648996642107031,4.5102810375396984e-17,0.014866666666666667,0.015000000000000036,0.0005280003187927441,4.5102810375396984e-17,0.03441730000000007,0.034775100000001655,0.0029588237970202195,0.0031602000000020766,0.005383355000000023,0.005200999999999567,0.0007465709670150206,0.0003494999999986703,0.08931666666666668,0.09000000000000057,0.003900276481680132,0.002000000000001015,0.06745,0.06899999999999977,0.003373929685037751,0.002000000000000321,0.08641732166666675,0.08697610000000128,0.005399773540305133,0.003509700000000837,0.15676666666666667,0.15900000000000034,0.007274206166717883,0.004000000000001336
10,40,0.02591803278688524,0.028000000000000115,0.0006321988015452807,1.8041124150158794e-16,0.007114754098360656,0.008000000000000007,0.0005799686511904235,1.1275702593849246e-17,0.016868852459016394,0.01800000000000006,0.0006197506830096381,9.020562075079397e-17,0.051117657377049215,0.05095014999999421,0.005387691515916096,0.004608749999999873,0.005652683606557382,0.005493699999999536,0.0008561803325459646,0.0003533000000004449,0.13098360655737704,0.14299999999999927,0.004809487377170966,0.003499999999999656,0.10021311475409836,0.10849999999999937,0.003989881682976915,0.0034999999999982406,0.1066719803278689,0.11044384999999393,0.008075789984207403,0.0049620500000006,0.2311967213114754,0.2514999999999986,0.008799369060147881,0.006999999999997897
