frequency,10/dev/mean,10/dev/median,10/diff/mean,10/diff/median,20/dev/mean,20/dev/median,20/diff/mean,20/diff/median,30/dev/mean,30/dev/median,30/diff/mean,30/diff/median,40/dev/mean,40/dev/median,40/diff/mean,40/diff/median
10.0,-0.16246973365617423,-0.10259965337954946,-13.419999999999987,-5.920000000000002,-0.1194141244519078,-0.017154577661756543,-12.799999999999997,-0.9200000000000017,1.9968577613295158,-0.02419652752124124,285.97,-1.3100000000000023,0.5274457864919331,0.0040392383150607,416.1600000000001,0.21000000000000085
20.0,-0.045394880770072255,-0.03454750281637242,-4.150000000000006,-1.8399999999999963,-0.12380952380952381,-0.029208301306687057,-10.659999999999997,-1.519999999999996,0.32882193715428976,0.02018203403244967,55.879999999999995,1.0200000000000031,0.9915436702343432,0.008669950738916299,317.76,0.4399999999999977
30.0,-0.2621600270849792,-0.25194759206798867,-23.230000000000004,-14.229999999999997,0.18107101579555662,-0.0886125912768897,14.099999999999994,-4.490000000000002,0.047773962286884686,0.004985044865403854,7.929999999999978,0.25,0.9258165782195977,0.003535651149086716,247.72999999999996,0.18000000000000682
40.0,-0.2308947170284854,-0.14891538010553063,-18.4,-7.6200000000000045,0.19958500842951632,0.06309287447606438,15.39,2.8599999999999994,0.23377332726445155,0.006867299535447513,25.680000000000007,0.3400000000000034,0.6064432989690722,0.0033144862546305998,141.18,0.1700000000000017
50.0,-0.10581649371927904,-0.15749796251018744,-7.75,-7.729999999999997,-0.019853562376795253,0.2499357161223965,-1.4099999999999966,9.719999999999999,0.12594409024031394,0.056510528577567776,12.840000000000003,2.6300000000000026,0.45289475136596935,-0.008183943881527656,82.06,-0.4200000000000017
60.0,0.1509843176509842,0.10019646365422386,9.049999999999997,4.079999999999998,0.19036108173440103,0.12360939431396778,12.600000000000009,5.0,0.32636604774535805,0.0302457466918713,30.760000000000005,1.4399999999999977,1.0915298834732492,0.02558936127342326,174.23000000000002,1.269999999999996
70.0,-0.03788502717838915,-0.0795606750602732,-2.3000000000000043,-2.969999999999999,0.5833039181080126,0.20570045711212703,33.05,7.650000000000006,0.45697660022285524,0.0032599837000815146,36.91000000000001,0.1600000000000037,0.6628939469734869,-0.035707502374168976,106.01000000000002,-1.8799999999999955
80.0,0.03368640388956412,0.1887417218543046,1.9399999999999977,5.699999999999999,0.043961772371850616,0.11655948553054674,2.530000000000001,4.350000000000001,0.3446046742913973,-0.018495934959349647,27.72,-0.9100000000000037,0.33241805388707735,0.029689067201604802,58.109999999999985,1.4799999999999969
90.0,-0.18537266538662944,-0.17806382408152321,-10.619999999999997,-6.640000000000001,0.09608977731018764,0.12496718298766063,5.479999999999997,4.759999999999998,0.16253852299965743,0.0622289679098007,14.239999999999995,2.8700000000000045,0.9293644996347699,0.04254448762528118,127.22999999999999,2.0799999999999983
100.0,0.18278736189183942,0.36438638707459603,9.43,10.599999999999998,0.14306126093945348,0.13905325443786998,8.009999999999998,5.170000000000002,0.44067554028910827,0.0971428571428572,30.789999999999992,4.420000000000002,0.6659827409329551,0.020028039254956997,110.35999999999999,1.0
