frequency,num_pairs,datamgmt/cpu_mean,datamgmt/cpu_median,datamgmt/cpu_std,datamgmt/cpu_mad,structural/cpu_mean,structural/cpu_median,structural/cpu_std,structural/cpu_mad,continuous/cpu_mean,continuous/cpu_median,continuous/cpu_std,continuous/cpu_mad,neo4j/cpu_mean,neo4j/cpu_median,neo4j/cpu_std,neo4j/cpu_mad,influxdb/cpu_mean,influxdb/cpu_median,influxdb/cpu_std,influxdb/cpu_mad,ros2talker/cpu_mean,ros2talker/cpu_median,ros2talker/cpu_std,ros2talker/cpu_mad,ros2listener/cpu_mean,ros2listener/cpu_median,ros2listener/cpu_std,ros2listener/cpu_mad,stream/cpu_mean,stream/cpu_median,stream/cpu_std,stream/cpu_mad,ros2/cpu_mean,ros2/cpu_median,ros2/cpu_std,ros2/cpu_mad
0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.00871868833333333,0.006224699999999928,0.013785653263933946,0.0007517999999997471,0.0016178766666666664,0.0015070999999999835,0.0003548119995111224,8.999999999996793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010336564999999997,0.007731799999999911,0.01414046526344507,0.000841799999999715,0.0,0.0,0.0,0.0
0,10,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004552166666666626,0.0045942999999994075,0.0003863692686376442,0.00022559999999884842,0.0017737900000000077,0.0017026999999998794,0.00040876374017704864,0.0001183000000004597,0.00505,0.004999999999999982,0.0019953188935229868,0.001999999999999957,0.004850000000000001,0.004999999999999982,0.0020583254558153067,0.0010000000000000234,0.006325956666666634,0.006296999999999287,0.0007951330088146929,0.00034389999999930813,0.0099,0.009999999999999964,0.004053644349338293,0.0029999999999999805
0,20,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004383714754098331,0.004434649999998897,0.0003346908957797171,0.0002696000000014464,0.0018066852459016256,0.001732300000000464,0.00037676430701384027,0.00012240000000076636,0.014049180327868852,0.014000000000000058,0.0036781151522819805,0.002000000000000047,0.014426229508196721,0.015000000000000036,0.0035447103903439654,0.002000000000000091,0.006190399999999957,0.006166949999999361,0.0007114552027935574,0.00039200000000221274,0.02847540983606557,0.029000000000000095,0.007222825542625946,0.004000000000000138
0,30,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004249837704918025,0.004321049999998649,0.00044569451249985636,0.00027514999999880265,0.0017823016393442388,0.0017084499999995729,0.00035901643410142276,0.00010845000000045955,0.03101639344262295,0.03100000000000023,0.004666747376218929,0.00299999999999976,0.028918032786885234,0.028000000000000115,0.00556075839236927,0.0030000000000001137,0.006032139344262264,0.006029499999998222,0.0008047109466012791,0.0003835999999992622,0.05993442622950818,0.059000000000000344,0.010227505768588198,0.0059999999999998735
0,40,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004236971666666704,0.004337899999995898,0.00033477397306101177,0.00021799999999530008,0.001804984999999988,0.0017284999999986894,0.0003775414126946516,0.00010880000000099707,0.05925,0.06099999999999994,0.005917808367441249,0.004000000000000628,0.058450000000000016,0.06000000000000085,0.006592239916647845,0.0050000000000011355,0.006041956666666692,0.006066399999994587,0.0007123153857556633,0.00032679999999629715,0.11770000000000001,0.1210000000000008,0.012510048284089095,0.009000000000001764
10,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.006355373333333331,0.005510700000000668,0.00309548687331378,0.000541199999999264,0.0017425549999999985,0.0016804000000000484,0.0003282522267670931,9.369999999995224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008097928333333329,0.007191100000000717,0.003423739100080873,0.0006348999999992162,0.0,0.0,0.0,0.0
10,10,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.00466539666666667,0.004705900000001861,0.0004852297550541632,0.00031830000000070396,0.0017745800000000024,0.0017010999999996558,0.00036916582490396726,0.0001459999999994467,0.02783333333333333,0.028000000000000115,0.0022686334735963834,0.0019999999999997797,0.01915,0.019000000000000038,0.0015352853514776115,0.0010000000000000668,0.006439976666666672,0.006407000000001517,0.0008543955799581304,0.00046430000000015066,0.046983333333333335,0.04700000000000015,0.003803918825073995,0.0029999999999998465
10,20,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0045480550000000135,0.004646800000000439,0.00035108489842610683,0.0002915999999970609,0.0018633183333333157,0.001748999999999512,0.0005900761426611563,0.00011149999999986453,0.06235000000000001,0.06300000000000025,0.002865482110653575,0.001999999999999613,0.04168333333333333,0.04200000000000008,0.002619666661820398,0.0020000000000000434,0.006411373333333329,0.0063957999999999515,0.0009411610410872631,0.0004030999999969254,0.10403333333333334,0.10500000000000033,0.005485148772473973,0.003999999999999657
10,30,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004398658333333287,0.004461200000002918,0.0003453875025615847,0.00026409999999259595,0.0018045483333333342,0.0017115999999987252,0.0003803598158597489,9.770000000060026e-05,0.10383333333333335,0.10600000000000023,0.005156578135867214,0.0039999999999995595,0.07035,0.07100000000000009,0.0040314369556682245,0.002999999999999392,0.006203206666666621,0.006172800000001644,0.0007257473184213336,0.0003617999999931962,0.17418333333333336,0.17700000000000032,0.00918801509153544,0.0069999999999989515
10,40,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.004061316666666812,0.004136900000003152,0.0002676133961101931,0.00019389999999930296,0.0018325733333333003,0.0017371999999994613,0.0004193698522415665,0.0001288999999985664,0.13921666666666666,0.13900000000000007,0.006823396337628416,0.004999999999999699,0.1008166666666667,0.1019999999999996,0.005823128476033607,0.0039999999999992125,0.005893890000000112,0.005874100000002613,0.0006869832483517596,0.00032279999999786937,0.24003333333333335,0.24099999999999966,0.012646524813662022,0.008999999999998912
